Lat,Lon,Name,StopID
38.816851,-77.043824,E ABINGDON DR + 2ND ST,4000190
38.825137,-77.084727,KING ST + KENWOOD AVE,4000880
38.8255,-77.058616,MT VERNON AVE + E CUSTIS AVE,4000296
38.811487,-77.103181,DUKE ST + S GORDON ST,4000108
38.818793,-77.044652,W ABINGDON DR + BASHFORD LN,4000970
38.773505,-77.080877,RICHMOND HWY + SOUTHGATE DR,5001835
38.822811,-77.050021,RT 1 JEFFERSON DAVIS HWY + POTOMAC AVE,4001059
38.773491,-77.081305,RICHMOND HWY + SOUTHGATE DR,5001818
38.823011,-77.049917,RT 1 JEFFERSON DAVIS HWY + POTOMAC AVE,4001058
38.826744,-77.058646,MT VERNON AVE + E OXFORD AVE,4000309
38.826993,-77.058891,MT VERNON AVE + E OXFORD AVE,4000311
38.825207,-77.088752,N QUAKER LN + WOODS AVE,4000290
38.825595,-77.088518,N QUAKER LN + WOODS AVE,4000295
38.811752,-77.104929,DUKE ST + S INGRAM ST,4000114
38.795237,-77.075035,HUNTINGTON STATION + BUS BAY B,5002201
38.795364,-77.075011,HUNTINGTON STATION + BUS BAY C,5002212
