,Start,End,product_name,distance,high_estimate,low_estimate,duration,Name_x,Code,Lat_x,Lon_x,Lat_y,Lon_y,Name_y,Nearest_Metro,StopID,ADDRESS,LATITUDE,LONGITUDE,IN_RANGE
76,C07,C08,UberX Car Seat,1.04,19.0,14.0,420,Pentagon,C07,38.869349,-77.054013,38.869684,-77.053021,PENTAGON TRANSIT CTR + BUS BAY U13,Pentagon,6000800.0,,,,
77,C07,C08,Black SUV Car Seat,1.04,39.0,31.0,420,Pentagon,C07,38.869349,-77.054013,38.869059,-77.053842,PENTAGON TRANSIT CTR + BUS BAY U7,Pentagon,6000930.0,,,,
78,C07,C08,Black SUV Car Seat,1.04,39.0,31.0,420,Pentagon,C07,38.869349,-77.054013,38.869236,-77.05359200000001,PENTAGON TRANSIT CTR + BUS BAY U-9,Pentagon,6001295.0,,,,
79,C07,C08,Black SUV Car Seat,1.04,39.0,31.0,420,Pentagon,C07,38.869349,-77.054013,38.869312,-77.053505,PENTAGON TRANSIT CTR + BUS BAY U10,Pentagon,6000788.0,,,,
80,C07,C08,Black SUV Car Seat,1.04,39.0,31.0,420,Pentagon,C07,38.869349,-77.054013,38.868936,-77.054015,PENTAGON TRANSIT CTR + BUS BAY U6,Pentagon,6000883.0,,,,
81,C07,C08,Black SUV Car Seat,1.04,39.0,31.0,420,Pentagon,C07,38.869349,-77.054013,38.869439,-77.053336,PENTAGON TRANSIT CTR + BUS BAY U11,Pentagon,6000938.0,,,,
82,C07,C08,Black SUV Car Seat,1.04,39.0,31.0,420,Pentagon,C07,38.869349,-77.054013,38.8688,-77.054209,PENTAGON TRANSIT CTR + BUS BAY U5,Pentagon,6000884.0,,,,
83,C07,C08,Black SUV Car Seat,1.04,39.0,31.0,420,Pentagon,C07,38.869349,-77.054013,38.869578999999995,-77.053157,PENTAGON TRANSIT CTR + BUS BAY U12,Pentagon,6000877.0,,,,
84,C07,C08,Black SUV Car Seat,1.04,39.0,31.0,420,Pentagon,C07,38.869349,-77.054013,38.868651,-77.05439799999999,PENTAGON TRANSIT CTR + BUS BAY U4,Pentagon,6000904.0,,,,
85,C07,C08,Black SUV Car Seat,1.04,39.0,31.0,420,Pentagon,C07,38.869349,-77.054013,38.868573,-77.054035,PENTAGON TRANSIT CTR + BUS BAY L5,Pentagon,6000792.0,,,,
86,C07,C08,Black SUV Car Seat,1.04,39.0,31.0,420,Pentagon,C07,38.869349,-77.054013,38.868518,-77.0541,PENTAGON TRANSIT CTR + BUS BAY L4,Pentagon,6000906.0,,,,
87,C07,C08,Black SUV Car Seat,1.04,39.0,31.0,420,Pentagon,C07,38.869349,-77.054013,38.869684,-77.053021,PENTAGON TRANSIT CTR + BUS BAY U13,Pentagon,6000800.0,,,,
88,C07,C08,Black Car Seat,1.04,28.0,22.0,420,Pentagon,C07,38.869349,-77.054013,38.869059,-77.053842,PENTAGON TRANSIT CTR + BUS BAY U7,Pentagon,6000930.0,,,,
89,C07,C08,Black Car Seat,1.04,28.0,22.0,420,Pentagon,C07,38.869349,-77.054013,38.869236,-77.05359200000001,PENTAGON TRANSIT CTR + BUS BAY U-9,Pentagon,6001295.0,,,,
90,C07,C08,Black Car Seat,1.04,28.0,22.0,420,Pentagon,C07,38.869349,-77.054013,38.869312,-77.053505,PENTAGON TRANSIT CTR + BUS BAY U10,Pentagon,6000788.0,,,,
91,C07,C08,Black Car Seat,1.04,28.0,22.0,420,Pentagon,C07,38.869349,-77.054013,38.868936,-77.054015,PENTAGON TRANSIT CTR + BUS BAY U6,Pentagon,6000883.0,,,,
92,C07,C08,Black Car Seat,1.04,28.0,22.0,420,Pentagon,C07,38.869349,-77.054013,38.869439,-77.053336,PENTAGON TRANSIT CTR + BUS BAY U11,Pentagon,6000938.0,,,,
93,C07,C08,Black Car Seat,1.04,28.0,22.0,420,Pentagon,C07,38.869349,-77.054013,38.8688,-77.054209,PENTAGON TRANSIT CTR + BUS BAY U5,Pentagon,6000884.0,,,,
